Date/Time,Word Count,ar,da,de,en,en-GB,en-HK,es,es-419,fi,fr,fr-CA,it,ja,ko,nl,pl,pt,pt-BR,ru,sv,th,tr,zh-Hans,zh-Hant
2021.10.18-17.51.53,2343,2226,0,2224,2343,0,0,2226,2226,0,2224,0,2226,2224,2224,0,2226,0,2226,2227,0,0,2224,2226,0
2021.10.20-08.48.21,2341,2224,0,2222,2341,0,0,2224,2224,0,2222,0,2224,2222,2222,0,2224,0,2224,2225,0,0,2222,2224,0
2021.10.20-08.48.36,2341,2224,0,2222,2341,0,0,2224,2224,0,2224,0,2224,2224,2224,0,2224,0,2224,2225,0,0,2224,2224,0
2021.10.21-05.41.30,2341,2224,0,2222,2341,0,0,2224,2224,0,2224,0,2224,2224,2234,0,2224,0,2224,2225,0,0,2224,2224,0
2021.10.25-15.12.02,2342,2222,0,2220,2342,0,0,2222,2222,0,2222,0,2222,2222,2232,0,2222,0,2222,2223,0,0,2222,2222,0
2021.10.25-15.12.17,2342,2222,0,2220,2306,0,0,2222,2222,0,2222,0,2222,2222,2232,0,2222,0,2222,2223,0,0,2222,2222,0
2021.10.26-08.47.04,2342,2222,0,2220,2342,0,0,2222,2222,0,2222,0,2222,2222,2232,0,2222,0,2222,2223,0,0,2222,2222,0
2021.10.26-08.47.18,2342,2259,0,2257,2342,0,0,2259,2259,0,2259,0,2259,2259,2269,0,2259,0,2259,2260,0,0,2259,2259,0
2021.10.27-02.13.31,2306,2220,0,2218,2306,0,0,2220,2220,0,2220,0,2220,2220,2230,0,2220,0,2220,2221,0,0,2220,2220,0
2021.10.27-02.13.45,2306,2220,0,2218,2303,0,0,2220,2220,0,2220,0,2220,2220,2230,0,2220,0,2220,2221,0,0,2220,2220,0
2021.10.27-12.48.10,2306,2220,0,2218,2306,0,0,2220,2220,0,2220,0,2220,2220,2230,0,2220,0,2220,2221,0,0,2220,2220,0
2021.10.27-12.48.24,2306,2223,0,2221,2306,0,0,2223,2223,0,2223,0,2223,2223,2233,0,2223,0,2223,2224,0,0,2223,2223,0
2022.02.15-19.31.32,524,448,0,448,524,0,0,448,448,0,448,0,448,448,448,0,448,0,448,449,0,0,448,448,0
2022.02.15-19.31.44,524,448,0,448,518,0,0,448,448,0,448,0,448,448,448,0,448,0,448,449,0,0,448,448,0
